2023年04月原材料收发存明细表,,,,,,,,,,
商品编号,商品全名,成品货号,上期存上期数量,上期存上期金额,本期入入库合计数量,本期入入库合计金额,本期出出库合计数量,本期出出库合计金额,本期存本期数量,本期存本期金额
02022175,丝滑蜡笔12色空展示盒,DP207271E,134,699.48,,,,,134,699.48
02022177,小信封空展示盒,,90,301.5,,,,,90,301.5
02022179,展示盒+卡头+保护罩,DP207266E,127,1346.2,,,,,127,1346.2
02022180,展示盒+卡头+保护罩,DP207273E,100,1020,,,,,100,1020
02022182,展示盒+卡头,DP217383E,148,717.8,,,,,148,717.8
02022184,展示盒+卡头,DP217385E,105,561.75,12,64.2,12,64.2,105,561.75
02022186,卡头,DP207253E,238,357,,,124,186,114,171
02022187,小信封展示盒+保护罩,DP197108E,422,1308.2,,,212,657.2,210,651
02022188,快干蜡笔6色展示盒+保护罩,DP207280E,92,1301.8,,,,,92,1301.8
02022189,JRK方盒缝制展示盒,DP207282E,98,617.4,,,,,98,617.4
02022190,我的的钓鱼游戏--展示盒,DP217429E,26,95.68,1000,3680,324,1192.32,702,2583.36
02022192,3D立体拼插挂饰--展示盒,DP217424E,46,121.9,,,,,46,121.9
02022193,进阶刮刮画--展示盒,DP217426E,46,407.1,,,,,46,407.1
02022194,展示盒+卡头,DP207256E,86,417.1,1000,4850,392,1901.2,694,3365.9
02022195,展示盒+卡头+保护罩,DP217383E,22,106.7,,,,,22,106.7
02022196,展示盒+卡头+保护罩+内衬,DP207266E,66,356.4,,,,,66,356.4
02022199,展示盒+保护罩,DP227431E,39,128.7,,,,,39,128.7
020221010,展示盒+保护罩,DP227460E,4,10.2,1000,2550,396,1009.8,608,1550.4
020221011,展示盒+保护罩,DP227461E,40,142,,,,,40,142
020221012,展示盒+卡头,DP227462E,46,262.2,1000,5700,385,2194.5,661,3767.7
020221013,展示盒+保护罩+卡头+衬卡,DP227463E,104,863.2,,,,,104,863.2
020221014,保护罩+卡头,DP227464E,108,367.2,,,,,108,367.2
020221015,展示盒+卡头,DP227465E,4,22,,,,,4,22
020221016,展示盒+保护罩,DP207244E,239,1457.9,500,3050,236,1439.6,503,3068.3
020221018,卡头,DP227464E,246,738,,,198,594,48,144
020221019,（眼镜/口罩链）折叠式展示盒,,,,800,2640,,,800,2640
020221020,折纸展示盒+卡头,DP227494E,675,2902.5,,,335,1440.5,340,1462
020221021,展示盒+卡头+保护罩+背部黄色片,DP227495E,458,2977,,,218,1417,240,1560
020221022,展示盒+卡头+保护罩,DP217385E,638,4147,,,324,2106,314,2041
020221023,旋转MDF陈列展架,DP227498E,,,2,1160,2,1160,,
02022214,白板笔,,8200,5002,,,,,8200,5002
02022215,纺织画笔,CH201770,5544,5266.8,,,340,323,5204,4943.8
02022216,纺织画笔,CH201771,3000,2850,,,48,45.6,2952,2804.4
02022217,水画笔,,70900,23397,,,31250,10312.5,39650,13084.5
02022219,白板笔,,3030,7272,,,3030,7272,,
02022301,彩铅笔,,6000,6060,,,,,6000,6060
02022302,粗彩铅笔,,69000,38502,,,,,69000,38502
02022303,6色纸盒装彩铅笔,,3840,26496,,,,,3840,26496
020224,白胶,,3000,1500,,,,,3000,1500
02022501,红色卡扣,,70,2100,,,,,70,2100
020226,塑料眼睛,,113,7401.24,,,,,113,7401.24
020227,六连体颜料,,327,447.99,,,,,327,447.99
020228,棉布片,LE08415-1,12086,11388.64,,,,,12086,11388.64
020229,皮筋,,3,360,,,,,3,360
02023006,塑料针,,2050,61.5,,,,,2050,61.5
02023023,实木熏蒸欧标托盘,,40,2800,,,,,40,2800
02023028,点胶,,3000,2616,,,,,3000,2616
02023029,棉鞋带,,4893,308.26,,,,,4893,308.26
02023030,Avenir礼品袋,,1680,6132,,,,,1680,6132
02023035,Avenir礼品袋,小,1580,5530,,,,,1580,5530
02023040,点胶,,16500,1980,,,,,16500,1980
02023041,棉绳,,255,3335.4,14,183.12,,,269,3518.52
02023045,蜡线,CJ305,,,20,560,,,20,560
02023046,两脚钉,CH191682,4181,4013.76,3050,2928,1000,960,6231,5981.76
02023047,两脚钉（单个）,CH191683,,,3050,91.5,1160,34.8,1890,56.7
02023049,点胶,,46800,12870,,,,,46800,12870
02023050,猫咪面具双面胶,,17100,2736,,,,,17100,2736
02023051,粉色锁匙扣+圆圈,,3700,647.5,,,,,3700,647.5
02023052,塑料眼睛,,61,2732.8,8,358.4,,,69,3091.2
02023053,纸质头套,CH201771,190,256.5,,,12,16.2,178,240.3
02023055,蓝色鞋带,CH201760,1516,151.6,,,,,1516,151.6
02023057,英文目录册,2021,1000,10800,,,,,1000,10800
02023059,双面胶,,6300,1008,,,,,6300,1008
02023065,绳子-青绿色,,3030,757.5,,,3030,757.5,,
02023066,绳子-紫色,,3030,757.5,,,3030,757.5,,
02023067,绳子-黄色,,3030,757.5,,,3030,757.5,,
02023068,绳子-橘黄色,,3030,757.5,,,3030,757.5,,
02023069,绳子-红色,,3030,757.5,,,3030,757.5,,
02023071,蜡线,,,,20,5200,,,20,5200
02023072,织带175,,11800,1534,,,,,11800,1534
02023073,织带463,,8300,1079,,,,,8300,1079
02023074,白色珍珠棉,,3600,7560,,,,,3600,7560
02023076,点胶,,2000,4320,,,,,2000,4320
02023093,雪纱彩带-透明白色,,73000,10220,23000,2254,,,96000,12474
02023094,黑色皮筋,,57,1977.9,,,,,57,1977.9
02023095,金属线,,6050,1815,,,,,6050,1815
02023096,蜡线,CJ104,140,36400,,,,,140,36400
02023098,支撑钢管,,132,300.96,,,,,132,300.96
02023099,塑料盒盖子,HSI201-309,80,640,,,,,80,640
02023100,包装塑料盒,HSI201-309,130,2665,,,,,130,2665
020231002,绑带,,4000,2000,,,,,4000,2000
020231003,不锈钢柱,,30000,1050,,,,,30000,1050
020231004,铃片,,50000,3750,,,,,50000,3750
020231005,干燥剂,,37.5,2493.75,,,22.5,1496.25,15,997.5
020231010,黄色塑料针,,8,720,,,,,8,720
020231011,挂绳-白色,,11100,2118,,,,,11100,2118
020231012,挂绳-红色,,1000,180,,,,,1000,180
020231013,退货卡,,1500,375,,,,,1500,375
020231014,隐私不干胶,,1500,450,,,,,1500,450
020231016,挂绳-粉色,,5130,1088.6,,,,,5130,1088.6
020231017,挂绳-黄色,,4100,862,,,,,4100,862
020231018,复配着色剂,,,,7650,2142,,,7650,2142
020231020,立体闪光水晶眼,,10500,2772,,,,,10500,2772
020231021,闪片,,22500,630,,,,,22500,630
020231022,硅胶圈,,5000,880,6100,1073.6,,,11100,1953.6
020231023,纸绑带,,,,1050,472.5,1050,472.5,,
020231024,挂绳-灰色,,3000,540,,,,,3000,540
020231025,挂绳-深紫色,,1000,180,,,,,1000,180
020231026,挂绳-玫红色,,2500,510,,,,,2500,510
020231027,黑色纽扣,,10000,500,,,,,10000,500
020231028,肩带,,14700,26985,,,,,14700,26985
020231029,钩针,,5000,4150,,,,,5000,4150
020231032,双面胶,,15,131.25,,,,,15,131.25
020231038,（阳光捕手套装）透明不干胶,,12300,3690,,,12300,3690,,
020231041,礼品袋-兔丽丽,DP227466E,1090,2158.2,,,,,1090,2158.2
020231042,礼品袋-熊酷酷,DP227467E,1100,2178,,,,,1100,2178
020231043,礼品袋-鳄暖暖,DP227468E,1110,2197.8,,,,,1110,2197.8
020231044,礼品袋-羊绵绵,DP227469E,1100,2178,,,,,1100,2178
020231046,无纺布袋,,164100,26256,8100,1296,,,172200,27552
020231047,无纺布袋,,65600,9840,5000,750,,,70600,10590
020231048,无纺布袋,,36300,5989.5,6100,1006.5,,,42400,6996
020231049,尼龙扎带,,100,80.16,,,,,100,80.16
020231051,铝箔片,,15250,335.5,,,,,15250,335.5
020231052,不锈钢钢丝圈,CH221883,5478,2629.44,3100,1488,1960,940.8,6618,3176.64
020231053,不锈钢钢丝圈,CH221886,5526,2652.48,3100,1488,1336,641.28,7290,3499.2
020231054,不锈钢钢丝圈,CH221884,5190,2491.2,3100,1488,1960,940.8,6330,3038.4
020231055,不锈钢钢丝圈,CH221885,5238,2514.24,3100,1488,1912,917.76,6426,3084.48
020231057,LED灯,,1120,784,,,,,1120,784
020231058,粗棉线,,1200,72,,,,,1200,72
020231059,纸质细吸管,CH221575,4500,202.5,,,,,4500,202.5
020231060,两脚钉（金色）,CH221575,1500,55,,,,,1500,55
020231065,银色扎带,,23,31.99,,,,,23,31.99
020231066,木托盘 免熏蒸 欧标,,20,1500,,,,,20,1500
020231067,画刷,CH221773,10000,1900,,,496,94.24,9504,1805.76
020231068,肩带,CH221815,4200,8190,,,932,1817.4,3268,6372.6
020231069,肩带,CH221818,4200,8190,,,1216,2371.2,2984,5818.8
02023102,胶带,,490,2474.5,,,,,490,2474.5
02023201,腊布,LA06838-2,6400,70400,,,,,6400,70400
02023202,棉布袋,CH1650,4500,8460,,,,,4500,8460
02023204,艾维尼帆布袋--大,DP227166E,520,2735.2,,,,,520,2735.2
02023205,艾维尼帆布袋--小,DP227167E,520,2230.8,,,,,520,2230.8
02023206,摇粒绒-红色,,288,3470,,,,,288,3470
02023207,摇粒绒-黄色,,282,3406,,,,,282,3406
02023208,摇粒绒-紫色,,209,3620,,,,,209,3620
02023209,摇粒绒-灰色,,81,1405,,,,,81,1405
02023210,摇粒绒-湖蓝色,,84,1457.5,,,,,84,1457.5
02023211,摇粒绒,,15,225,,,,,15,225
02023212,摇粒绒,,15,225,,,,,15,225
02023213,北极绒复合,,150,510,,,,,150,510
02023214,北极绒复合,,364,1237.6,,,,,364,1237.6
02023215,北极绒复合,,142,482.8,,,,,142,482.8
020233,纸绳,,18112,1086.72,,,,,18112,1086.72
020234,皮筋,,83,1909,,,,,83,1909
020235,塑料眼睛,,315,12289.2,20,784,,,335,13073.2
02023601,蓝色塑料珠子,,52,936,,,,,52,936
02023602,白色塑料珠子,,31,558,,,,,31,558
02023603,绿色塑料珠子,,24,432,,,,,24,432
02023604,珍珠,,64,1344,,,,,64,1344
02023610,UV变色珠,,20,1086.41,,,,,20,1086.41
02023611,实色小马珠-白色 056,CH221884/85/86,83.94,948.52,16,180.8,12.4,140.12,87.54,989.2
02023612,实色小马珠-绿色 040,CH221886,27.01,305.21,,,2.3,25.99,24.71,279.22
02023613,实色小马珠-黑色 055,CH221883/84/85/86,60.29,681.28,17,192.1,12.3,138.99,64.99,734.39
02023614,实色小马珠-湖蓝 150,CH221883/84,35.99,406.69,15,169.5,11.5,129.95,39.49,446.24
02023615,实色小马珠-蓝色 059,CH221885,40.49,457.54,15,169.5,2.3,25.99,53.19,601.05
02023616,透明闪粉小马珠-粉色 025,CH221883,205.49,3452.23,77,1293.6,11.3,189.84,271.19,4555.99
02023617,透明闪粉小马珠-玫红 032,CH221883/84,23.99,403.03,10,168,2.5,42,31.49,529.03
02023618,透明闪粉小马珠-蓝色 170,CH221883/85,29.69,498.79,12,201.6,2.5,42,39.19,658.39
02023619,透明闪粉小马珠-紫色 028,CH221884,201.67,3388.05,72,1209.6,13.5,226.8,260.17,4370.85
02023620,透明闪粉小马珠-浅蓝 027,CH221885,146.44,2460.19,52,873.6,10.5,176.4,187.94,3157.39
02023621,透明闪粉小马珠-橘色 031,CH221885/86,217.67,3656.85,5,84,11.3,189.84,211.37,3551.01
02023622,透明闪粉小马珠-黄色 024,CH221884,7.47,125.49,3,50.4,1.6,26.88,8.87,149.01
02023623,UV变色珠,,12,649,6,322.43,,,18,971.43
02023624,UV变色珠,,8,432.67,4,214.94,,,12,647.61
02023625,UV变色珠,,10,540.83,5,268.68,,,15,809.51
02023626,UV变色珠,,6,324.5,,,,,6,324.5
020237,牛皮纸色纸绳,,4835,290.1,,,,,4835,290.1
020238,牛皮纸色纸绳,,4832,108.72,,,,,4832,108.72
020240,塑料眼睛,,234,9860.5,5,215.25,,,239,10075.75
020243,毛条,CH201721,44,9.86,,,,,44,9.86
020244,毛条,CH201723,346,77.5,,,120,26.88,226,50.62
020248,背胶棉布,,10000,15100,,,,,10000,15100
020250,毛条,,1080,4039.2,,,,,1080,4039.2
020254,钻贴,PZ215067,5155,4227.1,,,,,5155,4227.1
