2023年04月原材料收发存明细表,,,,,,,,,,
商品编号,商品全名,成品货号,上期存上期数量,上期存上期金额,本期入入库合计数量,本期入入库合计金额,本期出出库合计数量,本期出出库合计金额,本期存本期数量,本期存本期金额
02010382,（DIY立体刮刮画- 蝴蝶）刮画,CH211787,5400,11934,,,1360,3005.6,4040,8928.4
02010384,(趣味刮刮画-动物)刮画,CH211790,2870,6314,,,1020,2244,1850,4070
02010385,(趣味刮刮画-恐龙)刮画,CH211791,2870,6888,,,1020,2448,1850,4440
02010386,(趣味刮刮画-海洋)刮画,CH211792,2870,6888,,,1020,2448,1850,4440
02010388,（线条刮画-神奇天马）水性刮刮画,CH221541,2710,4552.8,,,1560,2620.8,1150,1932
02010389,（线条刮画-童话精灵）水性刮刮画,CH221546,3430,5762.4,,,1660,2788.8,1770,2973.6
02010390,（趣味刮画-太空）水性刮刮画,CH191678,1740,5115.6,,,360,1058.4,1380,4057.2
02010391,（趣味刮画-工程车）水性刮刮画,CH191679,1620,4762.8,,,360,1058.4,1260,3704.4
02010393,（刮画-动物们）水性刮刮画,CH221568,7710,12181.8,,,1600,2528,6110,9653.8
02010394,（刮画-鸟类）水性刮刮画,CH221569,7950,12561,,,1600,2528,6350,10033
02010395,（刮画-恐龙）水性刮刮画,CH221570,7830,12371.4,,,,,7830,12371.4
02010396,（刮画-独角兽）水性刮刮画,CH221571,7950,12561,,,2320,3665.6,5630,8895.4
02010397,（趣味刮画-萌萌小怪兽）水性刮刮画,CH191680,2360,6938.4,,,420,1234.8,1940,5703.6
02010398,（趣味刮画-交通工具）水性刮刮画,CH191681,2820,8290.8,,,420,1234.8,2400,7056
0201030102,恐龙水性刮画,CH221773,3050,4803.75,,,496,781.2,2554,4022.55
0201030103,刮画,CH221808,5050,33330,,,452,2983.2,4598,30346.8
02010429,(手工相框-新十字绣艺术卡-孔雀)卡片,CH1524,600,546,,,,,600,546
02010430,(折纸套装-动物)卡片,CH1060,2113,633.9,,,,,2113,633.9
02010431,(折纸套装-工程车)卡片,CH1334,1000,300,,,,,1000,300
02010433,(动力折纸套装-跳舞鸟)卡片,CH1465,400,240,,,,,400,240
02010447,(薄页纸套装-蝴蝶)卡片,CH1460,684,1026,,,,,684,1026
02010448,(薄页纸套装-火烈鸟)卡片,CH1461,560,840,,,,,560,840
02010449,(薄页纸套装-孔雀)卡片,CH1462,310,465,,,,,310,465
02010468,(DIY手链)纸托,SD198132,180,153,,,,,180,153
02010469,(绕线画-海马)纸托,SD198134,1800,2070,,,,,1800,2070
02010470,(绕线画-鲸鱼)纸托,SD198135,550,676.5,,,,,550,676.5
02010491,异形2折页,CH191592,11602,4363.2,,,6050,2420,5552,1943.2
02010492,异形2折页,CH191593,15812,6324.8,,,6548,2619.2,9264,3705.6
02010493,异形2折页,CH191594,7836,3134.4,,,4352,1740.8,3484,1393.6
02010494,异形2折页,CH191595,2673,935.55,,,1165,407.75,1508,527.8
02010495,四折页,BTS196001,2472,1112.4,,,25,11.25,2447,1101.15
02010496,四折页,BTS196002,358,161.1,,,48,21.6,310,139.5
02010499,四折页,BTS196005,622,279.9,,,,,622,279.9
020104108,贺卡,CH201743,2280,5700,,,500,1250,1780,4450
020104109,贺卡,CH201744,3092,7730,,,150,375,2942,7355
